City,Country,Continent,Population (2024),Population (2023),Growth Rate,Population Change
Sapporo,Japan,Asia,0.0525480833919451,0.05315763546473824,0.1059245960502693,-5165
Tashkent,Uzbekistan,Asia,0.05179774650894395,0.05143361308625921,0.3500897666068223,30418
Patna,India,Asia,0.05178625193967419,0.050789706399830825,0.5116696588868941,53481
Bhopal,India,Asia,0.051555865572827334,0.050371239723160446,0.5619389587073609,60363
Tangerang,Indonesia,Asia,0.05007408359890235,0.04898846238560449,0.5457809694793536,56903
Nantong,China,Asia,0.049654504321586815,0.04838936399207777,0.5978456014362656,63492
Brisbane,Australia,Oceania,0.04912451668154866,0.048725974637957775,0.36983842010771995,31944
Tunis,Tunisia,Africa,0.048415703242560254,0.0479291054926521,0.39497307001795334,35227
Peshawar,Pakistan,Asia,0.04758724178708214,0.04618336452911914,0.651705565529623,68761
Medan,Indonesia,Asia,0.047546653308033926,0.04693114747840646,0.4344703770197487,40016
Gujranwala,Pakistan,Asia,0.047546323320399375,0.04628293546640552,0.6122082585278277,63642
Baku,Azerbaijan,Asia,0.047136698670059096,0.0467460459012423,0.3752244165170557,31858
Hohhot,China,Asia,0.04657362976965847,0.04532918245103228,0.6157989228007181,63050
San Juan,Puerto Rico,North America,0.04637932205085446,0.04694513293090331,0.118491921005386,-2944
Belem,Brazil,South America,0.04625714412916662,0.046118208773957364,0.3087971274685817,22768
Rawalpindi,Pakistan,Asia,0.04620794847265086,0.045238386699626265,0.5403949730700179,53063
Agra,India,Asia,0.0459866917636929,0.0449704418832602,0.55475763016158,54788
Manaus,Brazil,South America,0.04556078772338204,0.045192070171651416,0.3752244165170557,31218
Kannur,India,Asia,0.04552806394962365,0.04438313514576023,0.5960502692998204,59527
Beirut,Lebanon,Asia,0.04544064472544053,0.04644577000939823,0.0,-18869
Maracaibo,Venezuela,South America,0.0453950239349656,0.04497241630008328,0.3913824057450629,33200
Liuzhou,China,Asia,0.04530108745500035,0.04430950585173271,0.5529622980251347,53958
Visakhapatnam,India,Asia,0.044962850129598525,0.04396606701433954,0.5565529622980252,54182
Baotou,China,Asia,0.044856484115399,0.044074385715050415,0.49730700179533216,46364
Vadodara,India,Asia,0.044639874732294096,0.04377838772632302,0.5206463195691203,49281
Barranquilla,Colombia,South America,0.044638142297212774,0.04447261461928417,0.32315978456014366,23902
Phnom Penh,Cambodia,Asia,0.044071058547258596,0.04260234828361752,0.7019748653500898,71482
Sendai,Japan,Asia,0.04376177763678751,0.044277970027475105,0.13285457809694795,-869
Taoyuan,Taiwan,Asia,0.04368728292829048,0.04363485859226714,0.29443447037701975,19874
Xuzhou,China,Asia,0.04351698180989913,0.042766005500286516,0.49551166965888693,45365
Houston,United States,North America,0.04278435426328488,0.04323813792310656,0.1526032315978456,1506
Tijuana,Mexico,North America,0.04254585570042227,0.04201520608085281,0.4380610412926392,37429
Esfahan,Iran,Asia,0.04247361590742792,0.041977061444729055,0.4272890484739677,36193
Nashik,India,Asia,0.04246564120625991,0.04140044946502079,0.5960502692998204,56930
Vijayawada,India,Asia,0.04236900982727926,0.041191929110538386,0.6319569120287254,61020
Amman,Jordan,Asia,0.04132138158452857,0.04125979968883191,0.3052064631956912,20448
Putian,China,Asia,0.04125032424722465,0.03971816406438529,0.7504488330341114,74082
Multan,Pakistan,Asia,0.04002120280547787,0.03913072021460595,0.5637342908438061,50807
Grande Vitoria,Brazil,South America,0.039785014156057036,0.039567093754963464,0.35727109515260325,26305
Wuhu Anhui,China,Asia,0.039742225759445235,0.0383134487621284,0.7360861759425494,70465
Mecca,Saudi Arabia,Asia,0.0394479317873761,0.03900260250075248,0.42908438061041293,34632
Kollam,India,Asia,0.039375884487168555,0.03781460686728497,0.7827648114901257,75334
Naples,Italy,Europe,0.03932327895842923,0.03981035836104098,0.14542190305206465,643
Daegu,South Korea,Asia,0.03932058405941384,0.03985459078236925,0.1310592459605027,-1068
Conakry,Guinea,Africa,0.039283927933010526,0.03793337352368467,0.7163375224416517,67659
Yangzhou,China,Asia,0.03918784653342078,0.03849153019058826,0.5098743267504489,43811
Havana,Cuba,Africa,0.03856680980521958,0.03897523488978806,0.17055655296229805,3588
Taizhou Zhejiang,China,Asia,0.03855878010611248,0.03769222044670961,0.5673249551166967,50083
Baoding,China,Asia,0.03848940020595079,0.037840192018617436,0.4991023339317774,42164
Perth,Australia,Oceania,0.0383185766071381,0.03812697606217044,0.355475763016158,25494
Brussels,Belgium,Europe,0.038007480764677054,0.03823652877339574,0.22621184919210055,10186
Linyi Shandong,China,Asia,0.0376739457630674,0.03698529695667779,0.5170556552962299,43685
Bursa,Turkey,Asia,0.03754921043721189,0.03725842461720445,0.3913824057450629,29189
Rajkot,India,Asia,0.037039599533606485,0.03607330834160395,0.6140035906642729,53874
Minsk,Belarus,Europe,0.036152812763723716,0.03646133609225177,0.20466786355475763,7476
Hiroshima,Japan,Asia,0.03610196716903526,0.036744719751276134,0.09874326750448834,-4707
Haikou,China,Asia,0.0359304285970144,0.03533249069610918,0.5008976660682227,40554
Daqing,China,Asia,0.035592878745851195,0.034909197667204586,0.533213644524237,43715
Lome,Togo,Africa,0.03554786293270626,0.034387046684866404,0.6929982046678637,61119
Lianyungang,China,Asia,0.035352537752029095,0.03451933261201305,0.585278276481149,49192
Yancheng Jiangsu,China,Asia,0.03531665159677304,0.03471194794208729,0.5080789946140036,40863
Panama City,Panama,North America,0.03480541825396448,0.03425681744191046,0.49371633752244165,38869
Almaty,Kazakhstan,Asia,0.034790953795983875,0.03454297076897832,0.3913824057450629,27908
Semarang,Indonesia,Asia,0.034745910483869394,0.034214038410743636,0.48833034111310597,38265
Hyderabad,Pakistan,Asia,0.034701719639810794,0.03400502445205546,0.5439856373429084,44280
Valencia,Venezuela,South America,0.03457250198191948,0.034437229779119796,0.355475763016158,23820
Davao City,Philippines,Asia,0.03413779827135428,0.03350363226881553,0.5278276481149013,42057
Vienna,Austria,Europe,0.03411112427089576,0.034213078624787965,0.2782764811490126,15216
Rabat,Morocco,Africa,0.03407565060018289,0.03377752775810673,0.4129263913824058,29809
Ludhiana,India,Asia,0.03405477888229834,0.03354983910696689,0.4829443447037702,37353
Quito,Ecuador,South America,0.03400607820723438,0.03371190582119506,0.4129263913824058,29672
Benin City,Nigeria,Africa,0.033618095245925905,0.03227595634169521,0.7809694793536806,67927
La Paz,Bolivia,South America,0.033425932446746395,0.03312572340438602,0.4183123877917415,29951
Baixada Santista,Brazil,South America,0.03341328292075575,0.033459345002575525,0.2998204667863555,17325
West Yorkshire,United Kingdom,Europe,0.03279070625026004,0.032934917956399606,0.26929982046678635,13809
Can Tho,Vietnam,Asia,0.032692947413528045,0.031193893655277357,0.8491921005385997,73743
Zhuhai,China,Asia,0.032458051215675826,0.031870049149816115,0.526032315978456,40544
Leon De Los Aldamas,Mexico,North America,0.03229476233451842,0.03211465745623157,0.38240574506283664,25686
Quanzhou,China,Asia,0.03219296114926333,0.031326124737512256,0.6265709156193896,50739
Matola,Mozambique,Africa,0.0320362720207967,0.030843791161106273,0.7468581687612208,62630
Datong,China,Asia,0.031998845923246144,0.03142756040179821,0.5224416517055656,39981
Sharjah,United Arab Emirates,Asia,0.030858326161372917,0.0302529195043424,0.5457809694793536,41341
Madurai,India,Asia,0.03085043395711354,0.030346731725894787,0.5080789946140036,37633
Raipur,India,Asia,0.03082829728662993,0.02986777111156157,0.6768402154398564,54294
Adana,Turkey,Asia,0.030430414696285293,0.030391046414590676,0.3429084380610413,20743
Santa Cruz,Bolivia,South America,0.03040550062987765,0.029958292638408813,0.4919210053859964,35618
Palembang,Indonesia,Asia,0.03032138128203991,0.029911866420610455,0.4775583482944345,34252
Mosul,Iraq,Asia,0.0301843814157674,0.02918788616302365,0.6983842010771993,55671
Cixi,China,Asia,0.029973959300810104,0.029101532849469588,0.6535008976660682,51168
Meerut,India,Asia,0.029846474078000115,0.0293465250702673,0.5152603231597845,37598
Gaziantep,Turkey,Asia,0.029780559048001077,0.02953571259335701,0.42190305206463197,28302
La Laguna,Mexico,North America,0.02959161362825832,0.02887450233727076,0.599640933572711,45543
Batam,Indonesia,Asia,0.029041964224995578,0.02798464364408899,0.7360861759425494,58005
Turin,Italy,Europe,0.029030414657786736,0.029460026615138777,0.177737881508079,3783
Warsaw,Poland,Europe,0.028857831124923173,0.029338599980519086,0.15978456014362658,1935
Jiangmen,China,Asia,0.028803328167285255,0.02854321164783073,0.4344703770197487,28958
Varanasi,India,Asia,0.028571731845778412,0.028156938934358982,0.49371633752244165,34622
Hamburg,Germany,Europe,0.028523141166592634,0.02906448511158088,0.13824057450628366,-240
Montevideo,Uruguay,South America,0.028360429763795676,0.028704592800662,0.21005385996409337,6967
Budapest,Hungary,Europe,0.02833370076539807,0.02880484929934529,0.16337522441651706,2339
Lyon,France,Europe,0.02816881694400707,0.028342397003449527,0.2746858168761221,13207
Xiangyang,China,Asia,0.028111701584262388,0.027835575173946126,0.44524236983842014,29612
Bucharest,Romania,Europe,0.02797976152838613,0.028759136065399708,0.050269299820466795,-8865
Yichang,China,Asia,0.02772072123527351,0.026972809867170013,0.6319569120287254,46856
Yinchuan,China,Asia,0.027709694148486026,0.027119437738739902,0.5691202872531419,41108
Shiraz,Iran,Asia,0.027298612052759855,0.027239081913727637,0.3680430879712747,21796
Kananga,DR Congo,Africa,0.027187681209615875,0.025689384087253433,0.9407540394973071,74274
Srinagar,India,Asia,0.027154297460588412,0.026617222881823697,0.55475763016158,39225
Monrovia,Liberia,Africa,0.02709553216267104,0.02606172619314009,0.7540394973070018,57345
Tiruppur,India,Asia,0.026999203272355377,0.02603849937301297,0.7253141831238779,54689
Jamshedpur,India,Asia,0.026962327154195716,0.026529004841270052,0.5152603231597845,35461
Suqian,China,Asia,0.026846996475924558,0.025703808299044294,0.8025134649910234,61359
Aurangabad,India,Asia,0.026818287551719718,0.026208957358739255,0.5870736086175943,41894
Qinhuangdao,China,Asia,0.026775526654077456,0.026142403058327785,0.5960502692998204,42766
Stockholm,Sweden,Europe,0.026662120903674442,0.026666281655386165,0.3464991023339318,19538
Anshan,China,Asia,0.02649294724303444,0.02637650856414266,0.39497307001795334,23953
Glasgow,United Kingdom,Unknown,0.026347065209598935,0.026612040037663102,0.2459605026929982,10059
Xining,China,Asia,0.02626267087206575,0.02574869885931359,0.55475763016158,38473
Makassar,Indonesia,Asia,0.02625860102457311,0.025926643175494066,0.48114901256732495,31836
Hengyang,China,Asia,0.0261783590314412,0.025618414771445896,0.5745062836624776,40158
Novosibirsk,Russia,Asia,0.026164554548729676,0.026520915216786584,0.2118491921005386,6745
Ulaanbaatar,Mongolia,Asia,0.02610551426111685,0.025913836888599894,0.4272890484739677,26736
Onitsha,Nigeria,Africa,0.02598314384664221,0.024563418048977822,0.9317773788150808,71531
Jilin,China,Asia,0.025949815095553833,0.025808479813123644,0.40754039497307004,24916
Anyang,China,Asia,0.02594085043148221,0.025083484924669417,0.6983842010771993,51028
Auckland,New Zealand,Oceania,0.025924213554907562,0.025930098404934463,0.3500897666068223,19550
